wallet_id,aggregated_lp_score,num_deposits,num_withdrawals,avg_holding_days,min_holding_days,max_holding_days,liquidity_percent_remaining,retained_liquidity,lp_volatility_stddev,dust_deposit_count,dust_deposit_volume,total_deposit_all_time,total_withdraw_all_time
0x07588353130f93056c7d32250a217ada1c5ae022,64.4,9.0,2.0,0.0,0.0,0.0,0.0,-3.418673,0.0,5.0,3.622973941,0.0,3.418673
0x07ba53b1e4331d9c0c923f5765d9a02e07677fde,358.8,2.0,1.0,9.362708333,9.362708333,9.362708333,0.0,-9.37234,0.0,0.0,0.0,1034.274465,1043.646805
0x0797f99d4450a9aafa4acc7899de006020511172,52.9,4.0,2.0,0.0,0.0,0.0,0.0,-1.282443,0.0,2.0,1.280694,0.0,1.282443
0x082e7ba53d71ae254211fb1ecde2ecdf12517494,48.3,8.0,1.0,0.0,0.0,0.0,0.0,-1.161825,0.0,4.0,1.215233471,0.0,1.161825
0x09817115dc07721448af7f5a7809115b881bdd1c,334.65,4.0,2.0,0.145891204,0.145891204,0.145891204,0.0,-98.187243,0.0,1.0,98.187151,1451.381386,1549.568629
0x08a9b4221a84bb39faa7d6fe0f7664efec9511ac,307.05,4.0,3.0,69.97653935,69.97653935,69.97653935,0.0,-348.482117,149.598073,1.0,49.186669,249.772536,598.254653
0x0931b95ae7125c9ecb375d01b08bf33914ec99b7,652.05,4.0,4.0,69.15143519,69.15143519,69.15143519,0.0,-59.786946,0.0,1.0,21.441536,11175.18326,11234.97021
0x085cb649bf48aa15064811322a5e26f54aeaf0db,66.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.144527,0.0,0.0
0x08fcbe6d85b8f4a9baaae64bf52ff5cbad1526ec,363.4,2.0,1.0,12.3319213,12.3319213,12.3319213,0.0,-0.136375,0.0,0.0,0.0,237.382731,237.519106
0x0840128434c33e296c785e911dd900f4a87b9473,59.8,6.0,2.0,0.0,0.0,0.0,0.0,-3.957376,0.0,3.0,4.162601,0.0,3.957376
0x0992b5d5d487df9ce8e79937b974bd257bf57803,437.0,2.0,1.0,10.67655093,10.67655093,10.67655093,0.0,-0.196455333,0.0,0.0,0.0,2544.034959,2544.231414
0x0ab43743b32e97e339d421eb531a7acf5c449703,64.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.278708,0.0,0.0
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,471.5,10.0,19.0,255.0925755,3.05900463,971.6810837,0.0,-236758.1658,97977.60554,0.0,0.0,97091.25941,333849.4252
