wallet_id,reason,metric,value
0x2e7306b6d8b5bc765c3b2c52123e274faf031f8d,Unexpected behaviour due to num_deposits,num_deposits,468.0
0x2efb097386918c33ff6e9cefe4f1a246301597db,Unexpected behaviour due to min_holding_days,min_holding_days,311.058588
0x2efb097386918c33ff6e9cefe4f1a246301597db,Unexpected behaviour due to max_holding_days,max_holding_days,978.9438351
0x2efb097386918c33ff6e9cefe4f1a246301597db,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,36444.25286
0x2efb097386918c33ff6e9cefe4f1a246301597db,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,193104.0059
0x2efb097386918c33ff6e9cefe4f1a246301597db,Unexpected behaviour due to avg_holding_days,avg_holding_days,756.3100915
0x2efb097386918c33ff6e9cefe4f1a246301597db,Unexpected behaviour due to num_deposits,num_deposits,6.0
0x365595ab460cb664c77d4e038c9051f09d781065,Unexpected behaviour due to min_holding_days,min_holding_days,442.7811458
0x365595ab460cb664c77d4e038c9051f09d781065,Unexpected behaviour due to max_holding_days,max_holding_days,442.7811458
0x365595ab460cb664c77d4e038c9051f09d781065,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,4124.613331
0x365595ab460cb664c77d4e038c9051f09d781065,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x365595ab460cb664c77d4e038c9051f09d781065,Unexpected behaviour due to avg_holding_days,avg_holding_days,442.7811458
0x365595ab460cb664c77d4e038c9051f09d781065,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x3bf8f336b435a92b6f0008202b8b49dcf45ae015,Unexpected behaviour due to min_holding_days,min_holding_days,5.78704e-05
0x3bf8f336b435a92b6f0008202b8b49dcf45ae015,Unexpected behaviour due to max_holding_days,max_holding_days,257.9252645
0x3bf8f336b435a92b6f0008202b8b49dcf45ae015,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,72799379.36
0x3bf8f336b435a92b6f0008202b8b49dcf45ae015,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,4461674.654
0x3bf8f336b435a92b6f0008202b8b49dcf45ae015,Unexpected behaviour due to avg_holding_days,avg_holding_days,2.964346498
0x3bf8f336b435a92b6f0008202b8b49dcf45ae015,Unexpected behaviour due to num_deposits,num_deposits,8164.0
0x3d4f635f7a037bc61f4750f280887eea769e473f,Unexpected behaviour due to min_holding_days,min_holding_days,0.004398148
0x3d4f635f7a037bc61f4750f280887eea769e473f,Unexpected behaviour due to max_holding_days,max_holding_days,279.5085366
0x3d4f635f7a037bc61f4750f280887eea769e473f,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,644621.3894
0x3d4f635f7a037bc61f4750f280887eea769e473f,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,16929.78466
0x3d4f635f7a037bc61f4750f280887eea769e473f,Unexpected behaviour due to avg_holding_days,avg_holding_days,100.6105125
0x3d4f635f7a037bc61f4750f280887eea769e473f,Unexpected behaviour due to num_deposits,num_deposits,94.0
0x4194d95a290d9b32f8e0b67319a3265eece533a9,Unexpected behaviour due to min_holding_days,min_holding_days,1125.040801
0x4194d95a290d9b32f8e0b67319a3265eece533a9,Unexpected behaviour due to max_holding_days,max_holding_days,1125.040801
0x4194d95a290d9b32f8e0b67319a3265eece533a9,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,6765.682236
0x4194d95a290d9b32f8e0b67319a3265eece533a9,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x4194d95a290d9b32f8e0b67319a3265eece533a9,Unexpected behaviour due to avg_holding_days,avg_holding_days,1125.040801
0x4194d95a290d9b32f8e0b67319a3265eece533a9,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x420d9ea56707924a981e7a990a23b9ab7715d8a3,Unexpected behaviour due to min_holding_days,min_holding_days,0.000694444
0x420d9ea56707924a981e7a990a23b9ab7715d8a3,Unexpected behaviour due to max_holding_days,max_holding_days,280.3208972
0x420d9ea56707924a981e7a990a23b9ab7715d8a3,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,974401.94
0x420d9ea56707924a981e7a990a23b9ab7715d8a3,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,10318.96492
0x420d9ea56707924a981e7a990a23b9ab7715d8a3,Unexpected behaviour due to avg_holding_days,avg_holding_days,149.8745165
0x420d9ea56707924a981e7a990a23b9ab7715d8a3,Unexpected behaviour due to num_deposits,num_deposits,368.0
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,Unexpected behaviour due to min_holding_days,min_holding_days,0.01650463
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,Unexpected behaviour due to max_holding_days,max_holding_days,989.7620246
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,32511212.25
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,5300865.165
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,Unexpected behaviour due to avg_holding_days,avg_holding_days,37.51246159
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,Unexpected behaviour due to num_deposits,num_deposits,114.0
0x488f8b646d85a11fcad2c2de0970c10e444ee353,Unexpected behaviour due to min_holding_days,min_holding_days,329.2332986
0x488f8b646d85a11fcad2c2de0970c10e444ee353,Unexpected behaviour due to max_holding_days,max_holding_days,329.2332986
0x488f8b646d85a11fcad2c2de0970c10e444ee353,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,5994.757678
0x488f8b646d85a11fcad2c2de0970c10e444ee353,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x488f8b646d85a11fcad2c2de0970c10e444ee353,Unexpected behaviour due to avg_holding_days,avg_holding_days,329.2332986
0x488f8b646d85a11fcad2c2de0970c10e444ee353,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x4ac02c4b877fcdb7c252d2dbee817dcff2587cd9,Unexpected behaviour due to min_holding_days,min_holding_days,0.002256944
0x4ac02c4b877fcdb7c252d2dbee817dcff2587cd9,Unexpected behaviour due to max_holding_days,max_holding_days,245.4514383
0x4ac02c4b877fcdb7c252d2dbee817dcff2587cd9,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,1483242.597
0x4ac02c4b877fcdb7c252d2dbee817dcff2587cd9,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,5077.666124
0x4ac02c4b877fcdb7c252d2dbee817dcff2587cd9,Unexpected behaviour due to avg_holding_days,avg_holding_days,91.55391187
0x4ac02c4b877fcdb7c252d2dbee817dcff2587cd9,Unexpected behaviour due to num_deposits,num_deposits,616.0
0x4b8f9511ce9ece9ad116777d8c92589df77191f6,Unexpected behaviour due to min_holding_days,min_holding_days,0.083275463
0x4b8f9511ce9ece9ad116777d8c92589df77191f6,Unexpected behaviour due to max_holding_days,max_holding_days,272.0251279
0x4b8f9511ce9ece9ad116777d8c92589df77191f6,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,4669824.231
0x4b8f9511ce9ece9ad116777d8c92589df77191f6,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,77783.37441
0x4b8f9511ce9ece9ad116777d8c92589df77191f6,Unexpected behaviour due to avg_holding_days,avg_holding_days,91.70524882
0x4b8f9511ce9ece9ad116777d8c92589df77191f6,Unexpected behaviour due to num_deposits,num_deposits,106.0
0x4cf1b1cad8d4df490336ecb1325de6b374e19e79,Unexpected behaviour due to min_holding_days,min_holding_days,0.000347222
0x4cf1b1cad8d4df490336ecb1325de6b374e19e79,Unexpected behaviour due to max_holding_days,max_holding_days,272.2586365
0x4cf1b1cad8d4df490336ecb1325de6b374e19e79,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,3048551.455
0x4cf1b1cad8d4df490336ecb1325de6b374e19e79,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,51751.37325
0x4cf1b1cad8d4df490336ecb1325de6b374e19e79,Unexpected behaviour due to avg_holding_days,avg_holding_days,188.6038186
0x4cf1b1cad8d4df490336ecb1325de6b374e19e79,Unexpected behaviour due to num_deposits,num_deposits,152.0
0x4e97ee034196fadcac26f0bc77d6a5ec2334c2a1,Unexpected behaviour due to min_holding_days,min_holding_days,0.001446759
0x4e97ee034196fadcac26f0bc77d6a5ec2334c2a1,Unexpected behaviour due to max_holding_days,max_holding_days,421.738067
0x4e97ee034196fadcac26f0bc77d6a5ec2334c2a1,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,201996.5747
0x4e97ee034196fadcac26f0bc77d6a5ec2334c2a1,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,9168.417035
0x4e97ee034196fadcac26f0bc77d6a5ec2334c2a1,Unexpected behaviour due to avg_holding_days,avg_holding_days,239.0003295
0x4e97ee034196fadcac26f0bc77d6a5ec2334c2a1,Unexpected behaviour due to num_deposits,num_deposits,248.0
